"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1866392197719118105","Tue Dec 10 07:59:10 +0000 2024","0","Byon Combat 4 resmi berakhir. Laga tarung yang seru dan buktikan kehebatan petarung Indonesia yang memenangi delapan dari sembilan laga kontra petarung Malaysia. Baca di https://t.co/UHUf2Wljq6 BACA SELENGKAPNYA: https://t.co/EQ6zPf6PMY","1866392197719118105","","","in","","0","0","0","https://x.com/LudusId/status/1866392197719118105","1359654554686509056","LudusId"
"1865745363984122270","Sun Dec 08 15:36:18 +0000 2024","0","@nanaattel iyh mmang ayo by di byon combat 5","1865782462141665618","","nanaattel","in","","0","1","0","https://x.com/spiderwom4n_/status/1865782462141665618","1479724031246946304","spiderwom4n_"
"1865400000425185747","Sat Dec 07 15:12:37 +0000 2024","2","@unmagnetism Byon combat aja gak sih komanjing divo vs el seleb","1865414115822542898","","unmagnetism","in","","0","0","0","https://x.com/saldiii4/status/1865414115822542898","1464995556523069441","saldiii4"
"1865028126650306788","Sat Dec 07 13:25:42 +0000 2024","0","@AMatnadzri84325 @gilabola_ina malaysia guna naturalisasi kalah 4-1 full malay kalah 6-0 futsal. boxing kalah byon combat wkwkwkwk https://t.co/LWmg0uuKvU","1865387207156281471","https://pbs.twimg.com/media/GeMvxBta0AALlLs.jpg","AMatnadzri84325","in","Indonesia","0","0","0","https://x.com/akuzulfikar/status/1865387207156281471","1079088028402909184","akuzulfikar"
"1864877549660311968","Fri Dec 06 05:44:26 +0000 2024","0","@BknPacarKmu lagi latian buat byon combat 4 itu","1864908738722967822","","BknPacarKmu","in","","0","0","0","https://x.com/Luppanama_/status/1864908738722967822","1413084694862651397","Luppanama_"
"1864813769903477010","Thu Dec 05 23:40:26 +0000 2024","0","@_annyya Maren nonton byon combat 4 emang seru bngttt Wkkwkwk ahir acara liat mereka lucu","1864817137774391664","","_annyya","in","Plantation, FL","0","0","0","https://x.com/Keong_16/status/1864817137774391664","404735468","Keong_16"
"1864196391154979256","Wed Dec 04 06:33:49 +0000 2024","0","Fuji dan Aisar Khaled jadi sorotan usai saling balas story Instagram. Kedekatan mereka di Byon Combat 4 Showbiz bikin warganet heboh dan gemas! Siamk Selengkapnya! https://t.co/6K8hEXzGzB","1864196392992034979","","baperanewscom","in","Indonesia","0","0","0","https://x.com/baperanewscom/status/1864196392992034979","1608725343850082305","baperanewscom"
"1863894881762263073","Tue Dec 03 10:35:43 +0000 2024","0","Semoga Byon combat selanjutnya ada fight antara tech bros di X biar gak berhenti di saling blok ","1863894881762263073","","","in","My Blog 👉","0","0","0","https://x.com/_4dinata/status/1863894881762263073","1330546824445382657","_4dinata"
"1863776661529153959","Tue Dec 03 02:45:58 +0000 2024","0","aku nyesel nonton byon combat 4 anjgg malah jadi ikut mantengin percintaan fuji skrg fakkkkk","1863776661529153959","","","in","Madrid, Comunidad de Madrid","0","0","0","https://x.com/bubuyycunuk/status/1863776661529153959","2322121634","bubuyycunuk"
"1863510349447843917","Mon Dec 02 09:07:44 +0000 2024","0","Profil Aisar Khaleed Influencer Malaysia yang Kepincut dengan Fuji di Byon Combat 4 #AisarKhaled #byoncombat4 https://t.co/cp0j0xbD6f","1863510349447843917","","","in","Bogor, Jawa Barat","0","0","0","https://x.com/AyoBogorCom/status/1863510349447843917","803539781019799552","AyoBogorCom"
"1863411669969567970","Mon Dec 02 02:35:37 +0000 2024","2","Inilah Maksud Bio Fuji di TikTok ternyata artinya berkaitan dengan Aisar Khaled lawan tinju Fadly Faisal di Byon Combat 4 Indonesia vs Malaysia https://t.co/CXdd8TZcaz","1863411669969567970","","","in","","0","0","1","https://x.com/Miraikuri154077/status/1863411669969567970","1841397928726003712","Miraikuri154077"
"1863361097983836549","Sun Dec 01 23:14:39 +0000 2024","127","Kemenangan Fadly Faisal di pertandingan Byon Combat showbiz 4 https://t.co/Z2PSHISGVK","1863361097983836549","https://pbs.twimg.com/media/Gdv9ClUacAALyUc.jpg","","in","","0","0","10","https://x.com/shirtlessboyid/status/1863361097983836549","775968482840104961","shirtlessboyid"
"1863234550627004518","Sun Dec 01 14:51:48 +0000 2024","1","yes lu nonton Indo vs Malay (byon combat vol 4) gaa?? #yesanity","1863234550627004518","","","in","","0","0","0","https://x.com/LyliAa499789/status/1863234550627004518","1810936055375478784","LyliAa499789"
"1863187868786848002","Sun Dec 01 11:46:18 +0000 2024","0","Byon Combat Showbiz Volume 4: Rudy The Golden Boy Sabet 2 Gelar Kalahkan Jagoan Malaysia Dean Hamsah https://t.co/NRQK7UrMUK","1863187868786848002","","","in","","0","0","0","https://x.com/pria4d/status/1863187868786848002","1383313898506309632","pria4d"
"1863110988771512421","Sun Dec 01 11:13:19 +0000 2024","3","@OnefootballM Lebih penting Byon Combat 4.","1863179567181250660","","OnefootballM","in","Maratua Island, Indonesia.","0","0","0","https://x.com/DellSuseno/status/1863179567181250660","1429043432366903304","DellSuseno"
"1863162865403973754","Sun Dec 01 10:06:57 +0000 2024","3","Apa Artinya 'Bio Fuji' di TikTok? Viral usai Aisar Khaled Tinju Lawan Fadly Faisal di Byon Combat 4 Indonesia vs Malaysia: Netizen Soroti https://t.co/CXdd8TZcaz","1863162865403973754","","","in","","0","0","2","https://x.com/Miraikuri154077/status/1863162865403973754","1841397928726003712","Miraikuri154077"
"1863116636938760602","Sun Dec 01 07:03:15 +0000 2024","0","BYON COMBAT 4 Nonton fadly vs aisar Nonton fuji aisar Lucu bangeeett","1863116636938760602","","","in","","0","0","0","https://x.com/PutriYesa2/status/1863116636938760602","1402097077891469319","PutriYesa2"
"1863103680398159962","Sun Dec 01 06:11:46 +0000 2024","0","Sosok Fadly Faisal Kakak Fuji Menang Tinju Lawan Aisar Khaled di Byon Combat 4 Ditemani Pacar Baru https://t.co/UJTEbXUPLU lewat @tribunnews #fadlyfaisal #fuji #tinju #aisarkhaled #indonesiamalaysia #malaysia #indonesia #viral #ByonCombatShowbizVol4 #byoncombat4 #vidio","1863103680398159962","","","in","Balikpapan, Indonesia","0","1","0","https://x.com/tribunkaltim/status/1863103680398159962","103551225","tribunkaltim"
"1863099491777495324","Sun Dec 01 05:55:08 +0000 2024","64","Byon combat 4 Sebelum pertandingan: ini bukan randy ini Jordan boyyyy Sesudah pertandingan: ini bukan saya ini bukan saya Jordan boy nak rematch #BYON https://t.co/fQvw6UlGMg","1863099491777495324","https://pbs.twimg.com/ext_tw_video_thumb/1863099404497924096/pu/img/tVzJDjVL3qtfpzht.jpg","","in","","2","3","6","https://x.com/footballindo_14/status/1863099491777495324","1715800155046518784","footballindo_14"
